id,match_id,content,bowler,batsman,over,ball,lemmatized,ball_type,shot_type,region
2310000000,128748,"Now, Tongue drags his length back and bowls it well outside off, Nair watches it carefully and decides to shoulder his arms.",Josh Tongue,Karun Nair,11,4,"now , tongue drag his length back and bowl it well outside off , nair watch it carefully and decides to shoulder his arm .",[],[],[]
2300000000,128748,"FOUR! And another! Again over-pitched, outside off, Karun Nair comes forward, gets to the pitch of the ball, and drives it through the same gap at cover-point for another boundary.",Josh Tongue,Karun Nair,11,3,"four ! and another ! again over-pitched , outside off , karun nair come forward , get to the pitch of the ball , and drive it through the same gap at cover-point for another boundary .",[],['drive'],"['cover', 'point']"
2260000000,128748,"FOUR! BEAUTIFUL! Much fuller and outside off, Karun Nair leans onto it and creams his cover drive through the big gap at cover-point for a boundary.",Josh Tongue,Karun Nair,11,2,"four ! beautiful ! much fuller and outside off , karun nair lean onto it and cream his cover drive through the big gap at cover-point for a boundary .",['fuller'],"['cover drive', 'drive']","['cover', 'point']"
2210000000,128748,"Similar length and line, around middle, Nair blocks it off.",Chris Woakes,Karun Nair,10,6,"similar length and line , around middle , nair block it off .",[],[],[]
2170000000,128748,"Length and angling into the stumps, Karun Nair is standing well ahead of his crease and shows the full face of the bat to defend.",Chris Woakes,Karun Nair,10,5,"length and angling into the stump , karun nair is standing well ahead of his crease and show the full face of the bat to defend .",['full'],[],[]
2140000000,128748,"A loud appeal for LBW but the umpire shakes his head! However, Stokes talks to his bowler and keeper and Woakes convinces him to take the review. On a good length and around off, seaming in a shade, Karun Nair moves across and offers no shot as he shoulders his arms. The ball comes in and clips his back pad and goes to roll away behind the keeper. No shot offered, so impact ain't an issue here. Ball Tracking shows that it is again the Umpire's call on hitting the top of the off stump. Nair survives, and Woakes isn't happy as this is the second time this morning that the on-field call hasn't gone in his favour. He looks a bit frustrated.",Chris Woakes,Karun Nair,10,4,"a loud appeal for lbw but the umpire shake his head ! however , stokes talk to his bowler and keeper and woakes convinces him to take the review . on a good length and around off , seaming in a shade , karun nair move across and offer no shot a he shoulder his arm . the ball come in and clip his back pad and go to roll away behind the keeper . no shot offered , so impact ai n't an issue here . ball tracking show that it is again the umpire 's call on hitting the top of the off stump . nair survives , and woakes is n't happy a this is the second time this morning that the on-field call ha n't gone in his favour . he look a bit frustrated .",['good length'],[],[]
2130000000,128748,"FOUR! Glorious! Pitched up, around off, Karun Nair comes forward, gets to the pitch of the ball, and shows the full face of the bat to drive it down the ground to the left of the bowler for a boundary.",Chris Woakes,Karun Nair,10,3,"four ! glorious ! pitched up , around off , karun nair come forward , get to the pitch of the ball , and show the full face of the bat to drive it down the ground to the left of the bowler for a boundary .",['full'],['drive'],[]
2080000000,128748,"Lands it full and outside off, shaping away, Nair leaves it.",Chris Woakes,Karun Nair,10,2,"land it full and outside off , shaping away , nair leaf it .",['full'],[],[]
2060000000,128748,"Hard length and around off, nips back in sharply, Karun Nair rises with the bounce but offers no shot as he shoulders his arms. The ball comes in and hits him high on the thigh pad. A stifled appeal and nothing more, seemed too high anyway.",Chris Woakes,Karun Nair,10,1,"hard length and around off , nip back in sharply , karun nair rise with the bounce but offer no shot a he shoulder his arm . the ball come in and hit him high on the thigh pad . a stifled appeal and nothing more , seemed too high anyway .",[],[],[]
2030000000,128748,"Full and on middle, Nair flicks it to deep backward square leg for a single off the front foot to get off the mark.",Brydon Carse,Karun Nair,9,6,"full and on middle , nair flick it to deep backward square leg for a single off the front foot to get off the mark .",['full'],['flick'],[]
